type,series,date_numeric,.median_slope,.lower_slope,.upper_slope,.median_smooth,.lower_smooth,.upper_smooth,min,max
nonseasonal,Study 3.l,-635.6047104208417,-5.7310202805638255e-5,-0.00120576140829054,0.0011002921185110362,1.85726626271508,1.621645611019391,2.0924073001337957,-955,291
nonseasonal,Study 3.l,-632.4423857715432,-6.281951137054875e-5,-0.0012136922845851217,0.001104923226663556,1.856773989533322,1.6221902306149698,2.0913566308861538,-955,291
nonseasonal,Study 3.l,-629.2800611222445,-7.207585328572463e-5,-0.0012261514115541328,0.0011046224330735208,1.8563961528544999,1.6226039450216598,2.0902132825542905,-955,291
nonseasonal,Study 3.l,-626.1177364729459,-7.865811157969915e-5,-0.0012403148681450205,0.0011021684403089698,1.8564026356207548,1.6234103776944135,2.0891214053300713,-955,291
nonseasonal,Study 3.l,-622.9554118236473,-8.790817407344775e-5,-0.0012575518284096976,0.0011026185304852108,1.855839150369413,1.623948100667252,2.0887573755073543,-955,291
nonseasonal,Study 3.l,-619.7930871743487,-9.638133291467454e-5,-0.0012755185365198596,0.0011032036552505167,1.8556231791463726,1.6248064740931363,2.0880648257754966,-955,291
nonseasonal,Study 3.l,-616.6307625250502,-1.0220971125018963e-4,-0.0012812942172479858,0.0011025001985909269,1.8554934417746072,1.6246716283185256,2.0874344064507464,-955,291
nonseasonal,Study 3.l,-613.4684378757515,-1.1044917935798537e-4,-0.0013005780134689449,0.0011054708564994797,1.8551652901239644,1.6258569987077336,2.0873552502370867,-955,291
nonseasonal,Study 3.l,-610.3061132264529,-1.1688627898909232e-4,-0.001312211025494836,0.0011104605809275632,1.8548850208335728,1.6270189346551496,2.085507737641672,-955,291
nonseasonal,Study 3.l,-607.1437885771544,-1.2163952978205828e-4,-0.0013175169777834839,0.0011074091323781663,1.8552612493978669,1.6276173565986283,2.084023329875849,-955,291
nonseasonal,Study 3.l,-603.9814639278558,-1.273995927641991e-4,-0.001327370592296706,0.0011073821749307817,1.8547432415125398,1.628135818060865,2.083661296574326,-955,291
nonseasonal,Study 3.l,-600.8191392785571,-1.3507671237089625e-4,-0.001341568504037438,0.0011032525155996158,1.8545723680709396,1.6272391620255826,2.0828874586046164,-955,291
nonseasonal,Study 3.l,-597.6568146292585,-1.4116435642641534e-4,-0.001356315394529517,0.001098275498584433,1.8542887065028437,1.6274196191193921,2.0831747488716013,-955,291
nonseasonal,Study 3.l,-594.4944899799599,-1.4404832493486452e-4,-0.0013562725786842034,0.0010963889781334666,1.8534765026492195,1.627599194794742,2.0820612505734135,-955,291
nonseasonal,Study 3.l,-591.3321653306614,-1.515847267707926e-4,-0.0013604150263413217,0.0010847591015328273,1.8529993054840275,1.628192506987207,2.080248279696987,-955,291
nonseasonal,Study 3.l,-588.1698406813628,-1.5798202457339983e-4,-0.0013579854718781534,0.0010729105974327518,1.8520827224407457,1.6288315871939567,2.080180160316997,-955,291
nonseasonal,Study 3.l,-585.0075160320641,-1.6471714647803282e-4,-0.0013678362321634106,0.0010677137509740304,1.8518464172351008,1.6297278667487256,2.080056990196863,-955,291
nonseasonal,Study 3.l,-581.8451913827656,-1.7001626329005148e-4,-0.0013825444598380976,0.0010644841511198153,1.8512035660886719,1.6296924806277489,2.0796833904220735,-955,291
nonseasonal,Study 3.l,-578.682866733467,-1.765380306384401e-4,-0.0013870204359223146,0.0010558639268631869,1.8506359751221666,1.6293297914313936,2.0795607354571968,-955,291
nonseasonal,Study 3.l,-575.5205420841684,-1.842898993409392e-4,-0.001390400923634294,0.0010473385718523514,1.8497892262377649,1.6299148703636133,2.079335734062327,-955,291
nonseasonal,Study 3.l,-572.3582174348697,-1.894634330534828e-4,-0.0013913273241239477,0.0010414117334600621,1.8492637491659212,1.6303855869923767,2.0796659177592294,-955,291
nonseasonal,Study 3.l,-569.1958927855711,-1.9633951187092435e-4,-0.0013963790178095348,0.001030366716531228,1.8489632527967563,1.6287333001445001,2.078986976063222,-955,291
nonseasonal,Study 3.l,-566.0335681362726,-2.0431463076953094e-4,-0.0014016922458615078,0.0010147434214180513,1.8483026368077848,1.6276592113377297,2.0790890391826977,-955,291
nonseasonal,Study 3.l,-562.871243486974,-2.1280435014148225e-4,-0.0014094999585101409,0.0010040705408442816,1.8478391515531842,1.627702783893754,2.077958682265803,-955,291
nonseasonal,Study 3.l,-559.7089188376754,-2.1917637571533533e-4,-0.0014125042912871422,9.95897310268612e-4,1.8473471166665636,1.626662860020199,2.07739970027413,-955,291
nonseasonal,Study 3.l,-556.5465941883768,-2.2423197765242264e-4,-0.0014172035838033725,9.882213168110887e-4,1.8466893912018243,1.6262406844238124,2.0759985570787087,-955,291
nonseasonal,Study 3.l,-553.3842695390782,-2.299473272904251e-4,-0.0014134890924499821,9.823020889254686e-4,1.8459653678659036,1.6263622846047303,2.0740357766455233,-955,291
nonseasonal,Study 3.l,-550.2219448897796,-2.3844364449576716e-4,-0.0014116465323898986,9.77393843148988e-4,1.8448769893439678,1.626147229511617,2.073264019255054,-955,291
nonseasonal,Study 3.l,-547.059620240481,-2.4392275044249345e-4,-0.0014161196063178225,9.687244450384812e-4,1.8441664860783562,1.6256186117607077,2.071842208357899,-955,291
nonseasonal,Study 3.l,-543.8972955911823,-2.4884242555422986e-4,-0.0014144735597521052,9.622746208415299e-4,1.8434040901173312,1.6257993147282372,2.07060053103588,-955,291
nonseasonal,Study 3.l,-540.7349709418838,-2.5287474647583963e-4,-0.001412866000882751,9.538494408989338e-4,1.8424454336903349,1.6245592759361813,2.070199879904938,-955,291
nonseasonal,Study 3.l,-537.5726462925852,-2.61993290062712e-4,-0.0014141024909597455,9.438214017720709e-4,1.8419079689889333,1.6240581220483326,2.0699091263523695,-955,291
nonseasonal,Study 3.l,-534.4103216432866,-2.7051728479499104e-4,-0.0014116003350161943,9.373583601812725e-4,1.8411288456053332,1.6232967719411344,2.0688084673031213,-955,291
nonseasonal,Study 3.l,-531.2479969939881,-2.783075276902025e-4,-0.0014148759966803315,9.267667706924772e-4,1.8406614197683324,1.6220217971614947,2.068519495032373,-955,291
nonseasonal,Study 3.l,-528.0856723446894,-2.8634250792691773e-4,-0.0014160768192272852,9.132051069227209e-4,1.8401298767696095,1.6209726066011996,2.0680486422489253,-955,291
nonseasonal,Study 3.l,-524.9233476953908,-2.951959749974975e-4,-0.001416567464573859,9.071307867758448e-4,1.839297735241301,1.6196866880107235,2.06742520534732,-955,291
nonseasonal,Study 3.l,-521.7610230460922,-3.015972623865437e-4,-0.001402847925707773,8.993031600179607e-4,1.837812709248029,1.6188396136484018,2.0661102671722573,-955,291
nonseasonal,Study 3.l,-518.5986983967936,-3.090970821517658e-4,-0.001396674011372445,8.796759762175198e-4,1.8371028067543818,1.6185145340166023,2.0654835724758103,-955,291
nonseasonal,Study 3.l,-515.436373747495,-3.1701925695681865e-4,-0.0013930338657985875,8.707275089225862e-4,1.8361605514695287,1.6184925473809648,2.063509432931231,-955,291
nonseasonal,Study 3.l,-512.2740490981964,-3.2295052421194015e-4,-0.0014010716057555328,8.513069620241784e-4,1.8352496149759876,1.6192525548536456,2.0630043635799975,-955,291
nonseasonal,Study 3.l,-509.1117244488978,-3.3051230519109964e-4,-0.001409751111258739,8.313911352253441e-4,1.8346843038260232,1.6183508057655296,2.061373433590647,-955,291
